,theta1,omega1,theta2,omega2
0,0.14276793281313616,0.0,0.017453292519943295,0.0
1,0.14215358535663972,-0.06123520002348974,0.0182720692495788,0.08158532452252994
2,0.1403197846149856,-0.12154635160274876,0.020712902039599097,0.16162123790804725
3,0.1372944577901667,-0.17998968799633996,0.024728975952485098,0.23852690720466402
4,0.13312476730539022,-0.23558771584884267,0.030241284719474886,0.31066802480857514
5,0.12787783796410568,-0.2873265521375085,0.03713748432555828,0.37635336910769024
6,0.12164137772949672,-0.33416968964535776,0.0452709397893929,0.4338583373833324
7,0.11452383134692927,-0.37509150250839446,0.05446055799991125,0.48148092314734947
8,0.10665365571978509,-0.40913064947117106,0.06449208257246,0.5176304418093374
9,0.09817736856908973,-0.43545822566579245,0.07512142490800128,0.5409406049108143
10,0.0892561621100495,-0.4534502833201895,0.08608037667014044,0.5503899366843712
11,0.08006114305561368,-0.4627499889943252,0.09708460624572636,0.5454053306102518
12,0.07076755478756283,-0.4633047914137902,0.10784335736354962,0.5259246441830744
13,0.06154859277708835,-0.45536899966030914,0.11806984633360705,0.4924024005400833
14,0.052569528301600776,-0.43947104594203173,0.12749117965950696,0.44575717924325736
15,0.04398277942869396,-0.4163538094668522,0.13585673391861378,0.3872742114154381
16,0.035924330406012187,-0.3869021678387261,0.14294432596085319,0.31848624545837206
17,0.02851160482625759,-0.3520727422838034,0.14856398391003423,0.2410571479576112
18,0.021842625417726098,-0.3128372126986086,0.1525595758866636,0.1566869153655854
19,0.015996119258182652,-0.2701451534211338,0.15480884000284817,0.06704796228944852
20,0.011032162016166157,-0.22490715463818525,0.15522246900560688,-0.02624588779446263
21,0.006992978565010966,-0.1779954887536371,0.1537428678400716,-0.12164199339197994
22,0.0039035915347141927,-0.13025774610305674,0.15034308512740788,-0.21763034009586515
23,0.0017721099015220471,-0.08253825858052691,0.14502625942167566,-0.31271209970635105
24,0.0005895541566461466,-0.0357020510186986,0.13782575458115223,-0.4053636917841427
25,0.0003292207299097131,0.009344012082087353,0.12880598929844722,-0.4940048589890032
26,0.0009456954344768362,0.05163836465539437,0.1180637946123268,-0.5769795262838984
27,0.0023737409622297274,0.09016592775896119,0.10572994866879384,-0.6525587115271447
28,0.004527394000586788,0.1238783892333457,0.09197035937340702,-0.7189736426340494
29,0.007299685548080826,0.15173679436203474,0.07698623875849328,-0.7744843617169542
30,0.010563440627841517,0.17277574318825617,0.06101254232707077,-0.8174828149326472
31,0.014173528016457892,0.1861823724406074,0.04431408084083004,-0.8466195924305902
32,0.01797073720836199,0.19137724570913772,0.027179021371860488,-0.8609336980345077
33,0.021787155008994835,0.18807998675402837,0.009909982972062857,-0.8599577832419221
34,0.025452566339807553,0.17634376698573198,-0.00718650842709829,-0.8437732967801971
35,0.02880114988689615,0.15654952792462803,-0.023811033208407266,-0.8130009049452335
36,0.03167765934722931,0.12936159122627844,-0.03968145891058127,-0.7687288970349155
37,0.03394241840969999,0.09565622854954813,-0.054541210680527766,-0.7123982658505046
38,0.03547475342643308,0.056440098582492534,-0.06816503033334487,-0.6456716979536742
39,0.03617482861674073,0.012774856920731603,-0.08036217141517488,-0.5703126603348077
40,0.035964133375203225,-0.034280797037865456,-0.09097743386173249,-0.4880925714474557
41,0.03478502708432293,-0.0837067985287851,-0.09989068931510092,-0.40073365451979975
42,0.032599790785850596,-0.13453574082764846,-0.10701561498934115,-0.30988628976337507
43,0.029389583330988116,-0.18584923615040733,-0.11229826748834112,-0.21713429595537226
44,0.025153601100122668,-0.23676215700324807,-0.11571596695013367,-0.12401913543544053
45,0.01990862826366677,-0.28640053881044214,-0.11727678043525908,-0.032073706750157936
46,0.013689043292389607,-0.3338788057954342,-0.1170196979826362,0.057143379267147236
47,0.006547245099751428,-0.3782818246989637,-0.11501543055303938,0.14202187440036695
48,-0.0014456565693143925,-0.4186572322788541,-0.11136756843954965,0.22089104397702222
49,-0.01019914243263121,-0.4540231356043152,-0.1062136779877108,0.2920360460091299
50,-0.01960292803564254,-0.4833950909059758,-0.09972576212279537,0.3537457287565341
51,-0.029527355439550707,-0.5058335620899818,-0.09210942784479913,0.4043936045328001
52,-0.03982491639809616,-0.520508415172917,-0.08360114094179337,0.442546156777433
53,-0.05033317104578514,-0.5267717941880254,-0.0744631485853875,0.46708412879871847
54,-0.06087909855096114,-0.5242255317259396,-0.0649760265651866,0.47731398784368284
55,-0.07128461588141903,-0.5127679457075854,-0.05542930142480688,0.47304470304467067
56,-0.08137272434768639,-0.49260830202833106,-0.04611105071273708,0.45461068552395884
57,-0.09097358229336133,-0.4642451502784161,-0.03729764690401924,0.4228348157760163
58,-0.09992982190811875,-0.4284142235315939,-0.02924477496847208,0.37894108227082596
59,-0.10810062101439562,-0.3860187913858487,-0.022180533280816303,0.3244381675780664
60,-0.11536433137766124,-0.33805770684800823,-0.016300947068787597,0.26099914855421996
61,-0.12161975328926604,-0.28556406596236894,-0.011767747929876874,0.1903586272369375
62,-0.12678635649984352,-0.22956205350644399,-0.008707925823637896,0.11423979808683826
63,-0.13080383946582463,-0.17104417183204668,-0.0072144079442878735,0.03431510770970134
64,-0.13363142331824923,-0.11096686206143222,-0.007347210692044297,-0.04780272237126053
65,-0.13524720536728232,-0.05026000579789816,-0.00913452778366642,-0.13054668466035835
66,-0.13564779785757103,0.010155124197145558,-0.012573379612251015,-0.21236737092904429
67,-0.13484836239842343,0.06934519197360893,-0.017629637581309296,-0.2917001267667457
68,-0.13288303866447929,0.12634713811701231,-0.024237420212642646,-0.36693686359155553
69,-0.1298056484459215,0.18015927810024335,-0.032298050358201984,-0.4364119529456015
70,-0.12569044441794866,0.22974664526076027,-0.041678946318324944,-0.49841122545029776
71,-0.12063257011475455,0.27406503287468104,-0.05221298922784188,-0.5512114423384579
72,-0.11474783130142086,0.31210563740968755,-0.06369901955105756,-0.5931534673249425
73,-0.10817138210610967,0.34295798916984677,-0.07590411282884942,-0.622745491930261
74,-0.10105502861453117,0.3658831184907051,-0.0885681252080009,-0.6387832765815669
75,-0.0935630706125377,0.3803837336098666,-0.10141064490465049,-0.6404658610675867
76,-0.0858668978359492,0.38625582075380477,-0.11414000301504011,-0.6274812403029579
77,-0.07813885143794279,0.3836087952869852,-0.126463514394846,-0.6000408380480176
78,-0.07054604808014853,0.37284876212403206,-0.1380978106797494,-0.5588536666743851
79,-0.06324488428465963,0.35462914109831867,-0.14877808955340927,-0.5050468644110818
80,-0.0563767573643358,0.32978094045792566,-0.15826539539955034,-0.4400524373831083
81,-0.05006525890135843,0.29923813841198077,-0.16635150035712049,-0.3654852840060771
82,-0.04441479391170831,0.2639719591161355,-0.17286144666180256,-0.28303493313346073
83,-0.03951034850011434,0.22494279152405267,-0.1776541866347239,-0.19438528965396112
84,-0.035418016556658195,0.1830728678586557,-0.18062194097068981,-0.10116755903768723
85,-0.03218587258134548,0.13923844398286261,-0.18168893643010328,-0.004944440222942752
86,-0.02984483721907745,0.09427757638390627,-0.18081009003801743,0.09278061086257443
87,-0.028409272580448043,0.04900838167757962,-0.17797006378406294,0.1905371891125522
88,-0.027877148814346376,0.004252793247961531,-0.1731829463959788,0.2868527481513769
89,-0.02822972251630995,-0.03913933099563918,-0.1664926622668303,0.380216588505406
90,-0.029430772167571898,-0.08027100037379135,-0.15797404091265485,0.4690513785181325
91,-0.03142554140434986,-0.11818902256372987,-0.1477343119476189,0.5517005675058058
92,-0.034139647734488694,-0.15189064902430133,-0.13591462000507273,0.6264406180453713
93,-0.03747832251727402,-0.1803503648784516,-0.12269098058705064,0.6915251945144291
94,-0.04132640872068919,-0.20256893768214265,-0.10827399914653772,0.7452647486297647
95,-0.04554954883328673,-0.2176422695473042,-0.09290666552489596,0.7861376116370328
96,-0.04999688913586219,-0.22484147255930687,-0.0768597055170044,0.81291883736661
97,-0.05450537601019785,-0.2236896744849362,-0.06042437364603567,0.8248035054290398
98,-0.058905423677089126,-0.21401875575840276,-0.04390304758347939,0.8214974659935507
99,-0.06302739199851315,-0.19599180563608137,-0.027598532429807754,0.803252704314548
100,-0.0667081130488118,-0.17008549030416031,-0.011803303303607335,0.7708380898728954
101,-0.06979669514046419,-0.13703718997289938,0.0032100721087906254,0.7254534971656631
102,-0.07215902256299264,-0.09777040659236794,0.017196398028415594,0.6686092012476076
103,-0.07368068404410899,-0.05331543452455561,0.02994277853511875,0.6019979978680322
104,-0.07426839267338352,-0.004740011845217454,0.04127111695352244,0.5273837166864795
105,-0.07385019695441083,0.04690084796538917,0.05103867442672453,0.4465208001621336
106,-0.07237490861160874,0.10059285515530922,0.05913737465918318,0.36110955725165683
107,-0.06981117852232,0.1553701479558382,0.06549254684072654,0.2727838635688826
108,-0.06614658519164875,0.21030728343514218,0.0700616870680212,0.18312375649025678
109,-0.06138699318367356,0.2645012180026638,0.07283364325788234,0.09368362018712259
110,-0.05555632454589327,0.31704910655467766,0.0738284424732928,0.006026498555540459
111,-0.0486967690884381,0.36702767647208984,0.07309778969903188,-0.07824477616608701
112,-0.04086934454993574,0.4134798373698174,0.07072608152788462,-0.15746877926297254
113,-0.03215460647857903,0.4554140327008527,0.06683159884001824,-0.22992788752593957
114,-0.022653202086157107,0.49182112703135494,0.061567372702917594,-0.29387956282011346
115,-0.012485883833850735,0.521711703070269,0.05512109254287064,-0.34762105266444976
116,-0.001792573742315369,0.5441729589737728,0.04771338892785479,-0.38958597907392517
117,0.009269863623346301,0.5584391558060599,0.03959393718718621,-0.418462684677884
118,0.020531302255052702,0.5639639970899751,0.031035126334854553,-0.43331508326224477
