,theta1,omega1,theta2,omega2
0,0.017453292519943295,0.0,2.147802177504222,0.0
1,0.016864513186810523,-0.05864771480179139,2.1457150353228114,-0.20824680015090768
2,0.015111690059524872,-0.11594730062082638,2.139459609424075,-0.4158955404783979
3,0.012235284595585795,-0.17055912885503852,2.1290538027688135,-0.6223581855004733
4,0.008302445057948481,-0.2211609898074473,2.114527110136929,-0.8270679131725913
5,0.0034065636454536177,-0.2664575748331947,2.0959200632019575,-1.0294925045057153
6,-0.002333362002799537,-0.3051906141421289,2.073283379713248,-1.2291508269447253
7,-0.00877357959969236,-0.33614942073602855,2.0466767378661896,-1.4256331911164137
8,-0.015746636577201205,-0.3581811733232067,2.016167111340361,-1.6186258671665996
9,-0.02306263473066342,-0.3701999358495857,1.981826559834878,-1.8079401813891747
10,-0.030510639539467223,-0.371192928164079,1.9437293934969477,-1.9935462249759166
11,-0.03786017196861474,-0.3602221433801632,1.9019486134498453,-2.175611404201931
12,-0.04486266674746974,-0.33641898365282796,1.85655152671719,-2.354544396974656
13,-0.05125273086519805,-0.29896915101402805,1.8075944160520938,-2.531045872368277
14,-0.05674897451909188,-0.2470844385250651,1.7551161042228056,-2.706168740966907
15,-0.06105411070711049,-0.17995717994715027,1.6991301751757186,-2.8813930388449025
16,-0.06385392199479868,-0.09669159821573341,1.6396154788144544,-3.0587242567961828
17,-0.06481454983562554,0.003796515224148471,1.5765043103265794,-3.240829900907557
18,-0.0635773546947043,0.12292528627062656,1.509667284050929,-3.431238663371751
19,-0.059750220985852406,0.2626604402775993,1.4388932541146993,-3.634643778071422
20,-0.052893587848881554,0.4258370811637556,1.3638615582265052,-3.8573816187472745
21,-0.04249838317171153,0.6166619739836203,1.2841019226340584,-4.108212729773248
22,-0.027951029006831267,0.8415310977505793,1.1989338445302478,-4.3996403023819655
23,-0.008476936912652317,1.1104169914617295,1.1073707324784514,-4.7502109469351534
24,0.01695325946928491,1.4393041994766398,1.0079614681659703,-5.188645615471318
25,0.049783087997598785,1.8544481460397213,0.8985192663083257,-5.761239442372042
26,0.09213716861379673,2.3986291923583067,0.775659452886982,-6.543304899442263
27,0.1471717781938919,3.1287571473861764,0.6341573581103395,-7.63873878538382
28,0.21866199813134024,4.008184782529789,0.4674341128895454,-9.01312740375997
29,0.304868746262568,4.423737349349639,0.2771720584535044,-9.713149784849472
30,0.3881462845751985,3.756049965253035,0.09012588842673759,-8.757104294215313
31,0.4538410971134188,2.8182328954543805,-0.07177954486301429,-7.439429567354523
32,0.5023851016092877,2.059821704664371,-0.21038811741920177,-6.452115704869183
33,0.5375418192503969,1.472101240982312,-0.3323514005957314,-5.759434350080966
34,0.5621425193127715,0.9981928106933354,-0.4424964468476895,-5.258071573391427
35,0.5780469372141385,0.5992621760045096,-0.5438998758222292,-4.877961738802594
36,0.5865050271366968,0.2521331220458055,-0.6385223151101745,-4.575656765610551
37,0.5884061437547251,-0.05683941578258646,-0.7276251535792142,-4.323375618075356
