,theta1,omega1,theta2,omega2
0,0.017453292519943295,0.0,2.6490607386769933,0.0
1,0.016491547691107795,-0.09589784662659266,2.6469544130667755,-0.21017758002210285
2,0.013616465005191944,-0.19078124794147971,2.6406395139794805,-0.41994633992286035
3,0.008858653170602278,-0.28362063158211837,2.6301284996704064,-0.6288750405567533
4,0.002269619368968381,-0.3733578204904687,2.615442868420435,-0.8364895162906011
5,-0.006077545779204791,-0.4588956080104237,2.59661419592946,-1.0422558773630812
6,-0.016087319949395208,-0.5390920006287032,2.573685453495364,-1.2455694104396404
7,-0.02764084337225686,-0.6127606582669236,2.546712477483795,-1.445751238033538
8,-0.04059509588697554,-0.6786786086982629,2.515765409348863,-1.6420543748573724
9,-0.054782308326510654,-0.7356022125207574,2.4809299089504346,-1.8336808696779634
10,-0.07000977874720134,-0.7822913725776475,2.442307904331022,-2.0198106971741545
11,-0.08606024342278475,-0.8175412617177144,2.400017656314089,-2.199642308048189
12,-0.10269295969280166,-0.8402193869850297,2.3541928789189828,-2.3724433296844873
13,-0.11964554036244972,-0.8493051122041032,2.3049807933443334,-2.537608848498186
14,-0.13663658535560935,-0.8439271753326218,2.252538946605046,-2.6947233167041307
15,-0.15336899595742692,-0.8233945527842921,2.197030803675413,-2.843621705943365
16,-0.1695338041494391,-0.7872156388388397,2.138620152257196,-2.9844454761343364
17,-0.18481423020947732,-0.7351014203569083,2.0774644695777766,-3.1176900266300582
18,-0.1988896153626998,-0.6669493440628392,2.0137074371937973,-3.244242192777949
19,-0.21143881943157192,-0.5828059273169038,1.9474707963380837,-3.3654090754371664
20,-0.22214265062906685,-0.4828073295340959,1.8788456766720154,-3.482942726947651
21,-0.23068488024339218,-0.3670975906322825,1.8078834070379857,-3.5990689259602426
22,-0.23675139076857069,-0.23572359624566303,1.7345856115226852,-3.71653244457938
23,-0.2400269509793094,-0.08850320099893064,1.6588930787669767,-3.8386771292184902
24,-0.2401890282524114,0.07514211707643847,1.5806724830016403,-3.9695860217034706
25,-0.23689773597516936,0.2564083295768739,1.4996993662113423,-4.114322206578696
26,-0.2297805525293735,0.45741854068338134,1.4156347888983,-4.279334762065918
27,-0.21840941826880572,0.6816877608245515,1.3279912731054646,-4.473144858402712
28,-0.20226600008578977,0.934868592188181,1.236080565075621,-4.707524054271337
29,-0.18068726177587796,1.2260276987700531,1.1389295957058516,-4.999585223861484
30,-0.15277620775355213,1.5699653399807703,1.0351387450234275,-5.37565457830473
31,-0.11724738037961745,1.9916610665673906,0.9226304163329012,-5.87878581905682
32,-0.07214497914864085,2.5350123282177424,0.7981807126120616,-6.58374351996486
33,-0.014321101221561883,3.277958703350868,0.6565334283014205,-7.62386396856057
34,0.061308543224190076,4.326204982809056,0.48906734176883776,-9.187950048417663
35,0.15998224319849536,5.447083933025498,0.28633086008017256,-10.941860718415864
36,0.2698426643798731,5.198778814327149,0.06552501551634958,-10.601625367167145
