,theta1,omega1,theta2,omega2
0,0.017453292519943295,0.0,0.39339721339952194,0.0
1,0.018326397018987105,0.08715348191410942,0.39150613332358125,-0.18872926026717013
2,0.02094773090126881,0.1744996794393155,0.38583312220664384,-0.37742184403875334
3,0.025322237676466988,0.26211716433404036,0.37638056333622855,-0.5658690753217154
4,0.03145420468160384,0.34983721053506533,0.3631583995952977,-0.7534870693992638
5,0.039340676250488815,0.4370737556520134,0.3461941773939006,-0.9390529895509282
6,0.04896099790302109,0.5226052515130455,0.32554913694609666,-1.1203616929853346
7,0.060261515510586845,0.6043164362426054,0.3013419756134584,-1.2938145117008595
8,0.073135146161079,0.6789565829483267,0.2737808212058725,-1.4540302295069865
9,0.08739730178173057,0.7420504328186501,0.24320111681645595,-1.5936975487208451
10,0.10276340702941582,0.7881874619251937,0.21010104957131878,-1.7040345388634621
11,0.11883787764633942,0.8118981802302968,0.17515864197209122,-1.7761950258653887
12,0.13512639637924506,0.8090532533005548,0.13921138407718534,-1.8035205008750177
13,0.15107721891624704,0.7782318248767142,0.10318913638480356,-1.7837415379225956
14,0.16614272882552403,0.7212537614728971,0.06801454568890897,-1.7198237823246738
15,0.1798395492888464,0.6425122743989836,0.034506115293605276,-1.6188723885784904
16,0.19178648364167564,0.5475580188018592,0.003317406677013141,-1.4898324590574459
17,0.20171345681110459,0.44174382470334134,-0.025076791026613386,-1.3413004948666782
18,0.20944849151028222,0.3294270063847407,-0.0503589560581929,-1.1802488947526033
19,0.21489470426938204,0.21374374355445674,-0.07233153601666538,-1.01167990904825
20,0.21800668897251618,0.09673204413570378,-0.09087902431141993,-0.8388413243321498
21,0.21877097140924862,-0.02041417121412086,-0.10593691111957382,-0.6636493746639539
22,0.21719174468246172,-0.13708476696361332,-0.11746936483668367,-0.4871168195951779
23,0.21328145829336168,-0.25303319235289623,-0.12545486536352252,-0.30971237453462597
24,0.20705537686072267,-0.36819809560966366,-0.1298782962284482,-0.1316499655848294
25,0.19852942187093325,-0.4825508608561968,-0.13072834423301538,0.046865511927680445
26,0.18772099311587012,-0.5959468757418079,-0.12799969197641023,0.2253993484575036
27,0.17465292242216832,-0.7079580941178387,-0.12170023734551463,0.40301834558390437
28,0.15936113055305418,-0.817668479863109,-0.11186425752193395,0.5779623069508494
29,0.14190681647350276,-0.9234273431774275,-0.09857285370643458,0.7472478108163608
