,theta1,omega1,theta2,omega2
0,0.017453292519943295,0.0,3.025004659556572,0.0
1,0.016983257931721278,-0.04691514758164242,3.024123307256808,-0.08799610025443733
2,0.01557246709311192,-0.09389866190790967,3.0214747562289292,-0.1764405109716148
3,0.013218883545623972,-0.14101652211538754,3.0170455450287914,-0.26578022356000686
4,0.009919195500253698,-0.18832967816239166,3.0108132907880227,-0.35645916615705814
5,0.005668941309232722,-0.23589089050853512,3.002746732459995,-0.44891578087574147
6,0.0004627188521944968,-0.2837408623007104,2.992805928220103,-0.5435795091323212
7,-0.005705529166332962,-0.33190328503700023,2.9809424566709284,-0.6408657199217879
8,-0.012842114373003057,-0.38037860428564696,2.9670997692055776,-0.7411687256745242
9,-0.020953058355157733,-0.4291361289236636,2.951213703980648,-0.844852346399909
10,-0.03004337773833909,-0.47810439915704145,2.933213211786244,-0.9522377939856037
11,-0.04011615198559388,-0.5271594710051012,2.913021358912769,-1.0635883728243134
12,-0.051171336648281,-0.5761111912815122,2.890556668738254,-1.1790909759827362
13,-0.06320429449853408,-0.6246876972162302,2.8657348489902232,-1.2988346244761355
14,-0.07620396420989355,-0.6725183347789123,2.8384710260467934,-1.4227861306793623
15,-0.09015073522375519,-0.7191167388937872,2.8086824094941005,-1.550765334336096
16,-0.10501395039871274,-0.7638647082312698,2.776291503257603,-1.6824205710042293
17,-0.12074913601987851,-0.8059998195132951,2.7412297498070255,-1.8172084983003258
18,-0.13729503514887792,-0.8446092025188163,2.7034415140924652,-1.9543816369942715
19,-0.15457060699071123,-0.8786327674931139,2.6628881987475754,-2.0929883465418615
20,-0.17247221070549126,-0.9068789350549616,2.619552198332451,-2.231889733672826
21,-0.19087124690573207,-0.9280551997873806,2.5734403174545375,-2.369797188612953
22,-0.2096125843597895,-0.9408144279134112,2.524586191370789,-2.5053324929724585
23,-0.2285140333453776,-0.9438147798807677,2.473051322082317,-2.637108435051559
24,-0.2473671465821133,-0.9357894570707967,2.4189242972690828,-2.763825866090866
25,-0.2659394438297544,-0.9156185945218197,2.362317989815655,-2.884377896134043
26,-0.2839780307410849,-0.8823944837975067,2.3033646769943106,-2.9979506163559453
27,-0.3012143772918598,-0.8354708187858619,2.242209275809915,-3.1041090991826996
28,-0.3173698556970836,-0.7744880832930415,2.1790010796085193,-3.2028595319219155
29,-0.33216150473969963,-0.6993702907166034,2.1138845344759725,-3.2946826206998816
30,-0.34530743011298265,-0.6102920021699653,2.046989633908937,-3.3805387317265505
31,-0.35653126411356423,-0.5076181168033234,1.9784224495153164,-3.4618506289028828
32,-0.36556518420548323,-0.3918214367564244,1.9082561513904595,-3.5404742004953937
33,-0.372151109844582,-0.2633835658413022,1.836522616259058,-3.618670439853902
34,-0.37603977663667043,-0.12268337507942678,1.763204475944626,-3.699093474554381
35,-0.3769874707337933,0.030125760042996788,1.6882270934036392,-3.7848113924888116
36,-0.374750157039119,0.19525376446757364,1.6114496494330306,-3.879379161095199
37,-0.36907461148065696,0.37343849702677084,1.5326540310167929,-3.986988686944803
38,-0.3596858073284773,0.5661594906413505,1.4515296406806877,-4.112735012913866
39,-0.3462692040274423,0.775942215883675,1.3676511918365628,-4.263063811921637
40,-0.328445448363556,1.0068275438985046,1.2804447995137724,-4.446519036249513
41,-0.3057329169325415,1.2651472750607187,1.189134305607828,-4.675018677133442
42,-0.2774895122804077,1.5608839195741504,1.0926532324138067,-4.9661173818352164
43,-0.2428168998365459,1.9101968850350417,0.9894940654226843,-5.3472295014356295
44,-0.20039272488497145,2.34038805705182,0.8774368417776679,-5.863970028954668
45,-0.14815768101031873,2.900053646314507,0.7530328134832573,-6.597363762675235
46,-0.08271201931998678,3.6783424743415303,0.6105901546062863,-7.697289941744374
47,0.001647875074379048,4.808048158442361,0.4404917798322954,-9.394614788303995
48,0.1112520220398925,6.047334629069283,0.23155638288741964,-11.339134540113056
49,0.2325122851169607,5.694606865522163,0.0038654939127454983,-10.822661439480997
50,0.33296423812155995,4.342662039479027,-0.1923937645257089,-8.798046684710412
51,0.4089379097241561,3.303042682689167,-0.35299783530800477,-7.339747620319124
52,0.4673975381177331,2.570136047887133,-0.4900817846169805,-6.407984157182107
53,0.5131412145534789,2.017614891374785,-0.6118878500393561,-5.7875280365287445
54,0.5489679763450916,1.571568666710252,-0.7232891732003024,-5.354833359344694
55,0.5765680998626795,1.1916627100587045,-0.8273090579239029,-5.042584062242264
56,0.5970165967378901,0.8549550548914661,-0.9259381621532242,-4.811848261619489
57,0.6110313760322351,0.5478420330865357,-1.0205496445488749,-4.638393025604469
58,0.6191162837519328,0.2621085059041528,-1.112118857443493,-4.505974659295643
59,0.6216466134335522,-0.007101580143944723,-1.2013451043823105,-4.402873614587566
60,0.618924290497874,-0.2623908580310533,-1.2887215806535792,-4.3200094444474635
61,0.611216020791066,-0.5047554758804604,-1.3745766333030012,-4.249880226863913
62,0.5987810350818357,-0.7340034297047826,-1.4590988442837047,-4.185967868181543
63,0.5818916764755314,-0.9490647949122575,-1.542353277278779,-4.12243000226959
64,0.5608482828291852,-1.1482585269312853,-1.624293569109217,-4.053980995484283
65,0.5359888719894378,-1.329547524278967,-1.7047730043105527,-3.975900891664593
66,0.5076937390617474,-1.490791385561675,-1.7835566503619396,-3.8841247760600677
67,0.4763850579031874,-1.6299900502205262,-1.8603357214507463,-3.7753689600780604
68,0.442521827981624,-1.7455013891557722,-1.9347444931492321,-3.6472524570551403
69,0.40659089537320753,-1.8362119960027796,-2.006379295725586,-3.4983778571714317
70,0.369095168141905,-1.901644237488825,-2.0748185023080343,-3.3283468646872576
71,0.3305403978365828,-1.9419919827299217,-2.1396420858552934,-3.1377015828646524
72,0.2914219344941747,-1.9580894330127914,-2.200449305294005,-2.927799352089663
73,0.25221265497346007,-1.9513280641020558,-2.2568733876711025,-2.700641884295098
74,0.21335290496088133,-1.9235425921298197,-2.3085925475301607,-2.4586853997448466
75,0.17524285582560137,-1.876887228067958,-2.355337226361503,-2.2046568585513673
76,0.1382372930345506,-1.8137190620228545,-2.3968938668620248,-1.941394162958789
77,0.10264257976372164,-1.736498707981977,-2.433105803598792,-1.6717188378832577
78,0.0687154044126867,-1.6477117117276072,-2.4638719350165026,-1.3983413563134581
79,0.036662903664417996,-1.549809359170874,-2.4891437842545603,-1.1237939079077952
80,0.006643808455801089,-1.4451650670178002,-2.508921428277094,-0.8503834883490133
81,-0.02122965638635203,-1.3360421016004203,-2.523248635077526,-0.5801588607220356
82,-0.046889310652844025,-1.2245693386614653,-2.532207440633487,-0.314887151375584
83,-0.07030813435510277,-1.1127231531957038,-2.5359123348678376,-0.056038154210203785
84,-0.09149707630863241,-1.002314796860628,-2.5345042085432445,0.1952238410592379
85,-0.11050166476495113,-0.8949833564957983,-2.528144215728853,0.4380401664096085
86,-0.12739853526923894,-0.7921945428382654,-2.5170077177449066,0.6718495439828097
87,-0.14229199296674164,-0.6952453134016081,-2.5012784724943518,0.8963720102207019
88,-0.1553107224440757,-0.6052738346738614,-2.481143212213919,1.111586565341819
89,-0.166604743412874,-0.5232739052284907,-2.456786712734498,1.317704896771215
90,-0.1763426907711629,-0.4501126891053046,-2.4283874049684537,1.5151440585003142
91,-0.18470947359556042,-0.3865506345829393,-2.396113519710537,1.704501033351984
92,-0.19190434750071778,-0.33326269215846743,-2.36011970041508,1.8865318909158775
93,-0.1981394210358604,-0.2908603789317612,-2.3205439678336925,2.062137871820588
94,-0.20363861301329264,-0.2599147834358628,-2.277504877380263,2.232360376543523
95,-0.20863708574274054,-0.24098123162170762,-2.231098672551551,2.3983866768106235
96,-0.2133812004504917,-0.23462703579960464,-2.181396200128136,2.561568350818616
97,-0.21812907769836856,-0.24146457693891707,-2.1284393068612095,2.7234551326090446
98,-0.2231519008869125,-0.2621930485430641,-2.0722363707890303,2.8858482780083636
99,-0.22873618220992561,-0.29765375153827256,-2.012756515319732,3.0508800459114065
100,-0.23518733069203746,-0.348906272554661,-1.9499218838443977,3.2211301042166354
101,-0.24283504708042244,-0.4173369716929933,-1.8835970697815658,3.3997968528538527
102,-0.25204136428897883,-0.5048182421684871,-1.8135743199321313,3.590953920089096
103,-0.26321262664714834,-0.6139494274799947,-1.739552345577542,3.7999437979288593
104,-0.2768175437345519,-0.7484334897236601,-1.6611051422780323,4.034000768768102
105,-0.29341491117087615,-0.9136867779804243,-1.5776347218641829,4.303270771341904
106,-0.313697288815876,-1.1178622719531208,-1.4882969971824134,4.622541987468302
107,-0.338561964127329,-1.3736232713472727,-1.3918812167984032,5.014281343973003
108,-0.36922963491261823,-1.7012531002016256,-1.286607021905964,5.514046235469152
109,-0.4074445556891519,-2.1337135405329497,-1.1697775695103683,6.179581242086394
110,-0.45578040511192963,-2.7206858717263036,-1.037231592452042,7.099657992698172
