,theta1,omega1,theta2,omega2
0,0.017453292519943295,0.0,3.1503192998497647,0.0
1,0.017398118362290188,-0.005505482222121146,3.1502592100496773,-0.005997468959285918
2,0.017232714881616977,-0.010998962399617864,3.1500788731931952,-0.012001771791748203
3,0.01695744085947084,-0.016468615369667795,3.1497780822973986,-0.018019989196964292
4,0.016572889921732056,-0.02190294420344827,3.1493564831757292,-0.024059724082931406
5,0.0160798808456378,-0.0272909457818997,3.148813562265115,-0.03012935968839346
6,0.015479444568948893,-0.03262227262890326,3.1481486298634334,-0.03623831386596542
7,0.01477281569040394,-0.03788741918003006,3.147360791236199,-0.04239734045578396
8,0.013961408543622593,-0.04307788107145347,3.146448920872284,-0.04861879336757087
9,0.013046794838766106,-0.048186315827895655,3.1454116295086942,-0.054916898310551895
10,0.012030681187747168,-0.05320672187101325,3.144247220965739,-0.06130806106504559
11,0.010914879082734847,-0.05813461489799277,3.1429536450530433,-0.06781118053023061
12,0.009701273427188161,-0.06296719870613254,3.141528445552948,-0.07444796102312415
13,0.008391785254243882,-0.06770355109828126,3.1399686978023627,-0.08124326259070021
14,0.006988338675537688,-0.07234477769829506,3.1382709527543127,-0.08822539869995115
15,0.005492809118011413,-0.07689423871637632,3.13643114826783,-0.0954265876901501
16,0.003906980522521796,-0.0813577193560119,3.1344445342020997,-0.10288330902915244
17,0.002232497016459379,-0.08574361348206469,3.132305586795298,-0.11063669805120434
18,0.0004708061037276246,-0.09006313381562653,3.130007906567163,-0.11873300851564275
19,-0.00137689964316245,-0.09433051706095677,3.12754411129272,-0.1272240825618531
20,-0.003309744728085097,-0.09856323412142247,3.124905720312905,-0.13616784638639526
21,-0.005327238027630393,-0.10278220886292946,3.122083026779845,-0.14562884488612485
22,-0.007429344581544808,-0.10701204477243463,3.1190649583585226,-0.15567881553999877
23,-0.009616561061144712,-0.1112812570518938,3.1158389285318764,-0.1663972916600423
24,-0.011889996417230377,-0.11562251260203286,3.1123906744377132,-0.17787224893380668
25,-0.014251458533823098,-0.12007287780726786,3.1087040781453124,-0.190200803399994
26,-0.016703544640935267,-0.12467406831619454,3.1047609766429107,-0.2034899406907767
27,-0.01924973392356661,-0.1294727006593681,3.100540965748273,-0.21785726265325103
28,-0.021894493092473176,-0.13452054472616695,3.096021164520895,-0.23343183486250246
29,-0.0246433824253138,-0.13987477598383702,3.0911759785840784,-0.2503550367865662
30,-0.02750316038932866,-0.14559818587716739,3.085976858238825,-0.26878137545069
31,-0.030481903649666752,-0.15175939930446658,3.080392014531846,-0.2888794113479059
32,-0.033589122606643755,-0.15843301564521156,3.0743861354200543,-0.3108325902023811
33,-0.03683588366528099,-0.16569970459224098,3.0679200755877356,-0.33484008476958776
34,-0.04023493187579982,-0.17364621540480385,3.0609505325171664,-0.361117563180791
35,-0.04380080990143179,-0.18236521160375282,3.0534297121738354,-0.3898977662713207
36,-0.047549973061426845,-0.19195492909122516,3.0453049820689486,-0.42143089887113194
37,-0.0515008988406106,-0.2025186634657189,3.036518519169217,-0.4559848220510857
38,-0.05567417553460475,-0.21416373964878124,3.027006958302681,-0.49384459421763305
39,-0.06009257301244694,-0.22700021494616507,3.016701056013481,-0.5353116578281546
40,-0.06478107781582562,-0.24113887246884233,3.0055253773741564,-0.5807020823883947
