,theta1,omega1,theta2,omega2
0,0.017453292519943295,0.0,4.904724263954464,0.0
1,0.017251967376798252,-0.020191322587222327,4.906704877648545,0.19768905197350095
2,0.01663607079843448,-0.04157300207287541,4.91264962465682,0.3956715305212714
3,0.015569765153611123,-0.06534281905653241,4.92256763793371,0.5942825760573658
4,0.013993061322174356,-0.09271509786129588,4.936475548257626,0.7939429721899394
5,0.011821365629495768,-0.12493364285166889,4.9543996796778,0.9952080766864339
6,0.008944710203268341,-0.1632908077376182,4.97637930353093,1.1988250250488177
7,0.0052265151184469165,-0.20915580527425953,5.002471156723057,1.405802814032793
8,0.0005016571858377165,-0.2640165335083444,5.032755545720582,1.6175019302166045
9,-0.005426488052138893,-0.32954116892468877,5.0673445296024235,1.835753674162699
10,-0.012790506619148136,-0.40766854921036355,5.106392907922461,2.0630243488838436
11,-0.021865615991062987,-0.5007411847675165,5.150113137333063,2.3026481388727067
12,-0.03297959359496691,-0.6117017604928031,5.198795895177349,2.559165440262559
13,-0.046527536223075504,-0.7443839751304449,5.252838942348394,2.83882249422221
14,-0.06299370541049246,-0.9039371632081603,5.312788207819624,3.1503076392799496
15,-0.08298351518084379,-1.0974140523340863,5.379396648300927,3.5057945099600785
16,-0.1072684234164895,-1.3344294894532918,5.453706620750433,3.9221888326455314
17,-0.13683995431732923,-1.6271839615178203,5.537152236368901,4.421525458071307
18,-0.17293459648085385,-1.9865106775827237,5.6316247749296435,5.025257220774674
19,-0.216847023537631,-2.4011366375510614,5.739213433332869,5.7217682786229185
20,-0.26892134760077185,-2.771919527065824,5.8606352806027,6.360470937335344
21,-0.3260386872573797,-2.8608331672946026,5.991211752830727,6.566199650791216
22,-0.3808640641933103,-2.557667449943729,6.1195937870404995,6.164950589318207
23,-0.427376175041553,-2.0754609101742263,6.236562232472854,5.497493109457506
24,-0.46415851446484313,-1.6045392447302094,6.340206061524299,4.862480515089071
25,-0.4921208812922311,-1.1971247259567215,6.43218997223876,4.335658453331904
26,-0.5125469307533127,-0.850497345707668,6.5146334571086975,3.906387086121441
27,-0.526530287946993,-0.5520518852146582,6.589243592249134,3.5498794830618183
28,-0.5349199961301601,-0.29064715380568096,6.657255272336357,3.2447683282891178
29,-0.5383717529944264,-0.05810814223800658,6.719530134827941,2.975087074045062
30,-0.5374030940912118,0.1513034316404171,6.776655586704102,2.729212837872666
31,-0.5324348695629506,0.3416082672463406,6.829019139522262,2.498637583575379
32,-0.5238196602405152,0.5156793698553568,6.876861067415949,2.277048782115176
33,-0.5118604481025073,0.6756503602259833,6.920311706413563,2.0597023432037447
34,-0.4968223843404233,0.8232032515216765,6.959418378315369,1.84299966594169
35,-0.4789396751047672,0.9597730925428369,6.994165241560848,1.6241945228743377
36,-0.4584189696909138,1.0866959262707734,7.0244881181691,1.401177888157777
37,-0.43544019839917897,1.205317981453054,7.050285492507472,1.1723060503963623
38,-0.4101555016931245,1.3170786045553429,7.071426298337352,0.9362491718325565
39,-0.38268667754245655,1.4235768960509487,7.0877547406000465,0.6918442887308898
40,-0.35312137940311483,1.5266311608755079,7.099092111014354,0.43794066820668687
41,-0.32150811466915213,1.6283410305440922,7.1052353353081426,0.17322613445024115
42,-0.2878498747599234,1.731164118811367,7.105951741109394,-0.10397894324880749
43,-0.2520959572401458,1.838022736527723,7.100969222814388,-0.39597875548158656
44,-0.2141311779482071,1.9524618252465975,7.089960517614499,-0.706038425322187
45,-0.17376117023929805,2.078887187872964,7.072519609882159,-1.038841654382328
46,-0.1306917993335353,2.2229209351967207,7.048127283901897,-1.4011260053999086
47,-0.0844999973505803,2.3919045530099323,7.016101721657536,-1.8025438624167538
48,-0.034593320520748295,2.5954947313814793,6.97553003298927,-2.2566617130324773
49,0.0198401293568359,2.8458710384709667,6.925183587777109,-2.7813215282828554
50,0.07986616857841024,3.1552743960932066,6.863458285407972,-3.394659020994469
51,0.14669964644316888,3.5220826569866692,6.788541302816123,-4.092433379788745
52,0.22102579466779884,3.8829670816260986,6.699513706597235,-4.76990864143967
53,0.3010279678607324,4.048206915906707,6.599566925228523,-5.116142595408217
54,0.38079610798633157,3.855726853332577,6.498588407548541,-4.866889441902666
55,0.45407096889083964,3.440518621681371,6.406994638467121,-4.246146070246764
56,0.5186002809583778,3.0061084449523796,6.328579867947016,-3.5899705390166763
57,0.5749489611285564,2.6283367410200205,6.262478900244638,-3.024451506307644
58,0.6243571116225368,2.311929368567728,6.206687611333759,-2.5588104538288294
59,0.6679398394505772,2.044713222548888,6.159379392287504,-2.1743493082372822
60,0.7065542792406528,1.8142349112676481,6.11912761502924,-1.851682274216077
61,0.7408347849632664,1.6108080660927004,6.084852459937767,-1.5757403441007922
62,0.7712486551824208,1.4273450641231693,6.055733757291981,-1.3355161113971803
63,0.7981416899186325,1.25870050942449,6.031140074803876,-1.1230079269042894
64,0.8217711617462412,1.1011038210975626,6.010578064576062,-0.932306401547269
65,0.8423290187783058,0.9517498114674079,5.993657523757197,-0.7589366538195159
66,0.8599582210445211,0.8085158322107909,5.980067463023032,-0.5994062888295681
67,0.8747643434371563,0.6697665659946015,5.969559706145104,-0.4508967358809223
68,0.8868238899746054,0.5342168629047371,5.961937647374034,-0.31105048404730257
69,0.8961902658537162,0.4008324109286833,5.957048592865955,-0.1778217462243684
70,0.9028980216920499,0.2687548875621848,5.954778647169611,-0.04936896437429268
71,0.9069657660146427,0.13724264006978806,5.955049460738104,0.07602550766060248
72,0.9083979913519139,0.005620757694296664,5.9578164035625125,0.20001881870843014
73,0.9071859555642271,-0.126763990430353,5.963067906072235,0.3242619244205889
74,0.9033076775035167,-0.2605870025074555,5.970825852398822,0.45045123858969305
75,0.896727037697957,-0.39659194211044774,5.981147032950592,0.5803838191498305
76,0.8873919016705535,-0.5356428774478458,5.994125793325216,0.7160227922455954
77,0.8752310985955386,-0.6787872719845851,6.009898164815924,0.8595813129167466
78,0.8601499758563056,-0.827336470558214,6.028647952674114,1.0136362420788267
79,0.8420240877195336,-0.9829733856397419,6.0506155286109164,1.1812875610609914
80,0.820690336715303,-1.1479018958587024,6.076110466916128,1.3663872103401868
81,0.795934531623752,-1.3250594658951316,6.105529740667597,1.5738722794382918
82,0.7674738043639927,-1.518423409095914,6.139384040869127,1.8102519008923392
83,0.7349316498972737,-1.7334462584952128,6.1783358826515125,2.0843055349862567
84,0.6978028062679003,-1.9776290030173662,6.223254056653829,2.408007382081867
85,0.6554063296078811,-2.2610646881739025,6.275287150332435,2.797405618944485
86,0.6068346830479802,-2.595989968286842,6.335943478638465,3.271889370693739
87,0.5509506561760479,-2.9912526708318232,6.407092961107124,3.8451565803488195
88,0.48664800722745144,-3.4279770564839245,6.490537811436003,4.485387354052987
89,0.4139773387301603,-3.7967422881741655,6.586164846540832,5.012124307050724
90,0.336362012523211,-3.8890015621663108,6.688302925880706,5.081577828052979
91,0.2603297387076914,-3.6589099877836504,6.78614481583107,4.615988285845905
92,0.19053902180672957,-3.301483109715583,6.871899145935569,3.9329989034639654
93,0.12784923758832326,-2.96360199347735,6.94397259215582,3.2725053935935353
94,0.07136272181645185,-2.6836101508803862,7.003646812241432,2.6976796685683877
95,0.019927182367637533,-2.457708256992299,7.052636129026694,2.203425145974151
96,-0.02742414869473618,-2.2740064092320518,7.092378367878866,1.7718325440686844
97,-0.07142363848751425,-2.1215667063731485,7.12396169850272,1.3868246791702006
98,-0.1126078262360707,-1.991790630458277,7.148192514748541,1.0363626955105327
99,-0.1513619895148009,-1.8780905557821634,7.165672243604108,0.7118778318675958
100,-0.18795500163877793,-1.7753534868183947,7.176857715072857,0.4073662736145194
101,-0.22256431512115604,-1.6795078307144953,7.182104734937009,0.11864275968040766
102,-0.2552935911611744,-1.5872195882667088,7.181698733219207,-0.15720824522193816
103,-0.28618530386605545,-1.4956890118246884,7.175876008677361,-0.42223119914351415
104,-0.3152300082557041,-1.4025162614487563,7.164838071001528,-0.6778968195761337
105,-0.3423733950963411,-1.3056113764628836,7.148760728365162,-0.9253340099533525
106,-0.3675218291929211,-1.2031303477453639,7.1277989742015,-1.16552040076334
107,-0.3905467510266425,-1.0934235260886402,7.102088332068948,-1.3994475671371638
108,-0.41128807433629816,-0.9749854436087435,7.071743044232718,-1.6282723838504394
109,-0.42955651287446106,-0.8463965621217081,7.036851283510328,-1.853464495138474
110,-0.4451345831260683,-0.7062478209629457,6.997467359012137,-2.0769609102437645
111,-0.45777583984791664,-0.5530378586462025,6.953600632893253,-2.3013426610853687
112,-0.4672016730291485,-0.3850299758046141,6.905200496628776,-2.5300558481494777
113,-0.4730946895025351,-0.20005053189285624,6.8521362016979195,-2.7677113428009923
114,-0.47508724806929487,0.0047985245458694314,6.79416947267112,-3.0205159207360324
115,-0.4727430559019517,0.23355225263383406,6.730916539483983,-3.296912262500867
116,-0.4655288532900041,0.49196654616596525,6.661794443669445,-3.6085251427182143
117,-0.45277254717604054,0.7882751949048316,6.585944778483737,-3.9714569706007277
118,-0.43360633784757074,1.1338240608336874,6.502130478434368,-4.407526578676743
119,-0.406910111466014,1.5418607579761674,6.408626318990947,-4.9427951720183305
120,-0.3713510032418413,2.0168888701273127,6.3032513079780745,-5.591236921673264
121,-0.32591694020148143,2.5100499542958032,6.184180393823052,-6.283451318917668
122,-0.271882738847839,2.829207803574946,6.053075491816535,-6.719443382205579
123,-0.21533542350087426,2.7428709741469057,5.9192084244432515,-6.530132799404041
124,-0.16398653268341806,2.355853815165038,5.794465337898773,-5.880962559486252
125,-0.12119128616560461,1.9204012011641853,5.683845473908883,-5.169051232119203
126,-0.08661428252784809,1.5422865073263046,5.586608088314683,-4.554538166217339
127,-0.05891105347230116,1.2332318569359015,5.5005656651964685,-4.048958131077896
128,-0.03680166310700081,0.9817493941025536,5.423751908035881,-3.6292797201409295
129,-0.019263477161966726,0.7751176683472715,5.354686345179205,-3.2722597816505203
130,-0.005502056575337729,0.6034226336371724,5.292299836638602,-2.960224952922108
131,0.0051066198301667805,0.4594610043403543,5.235824864763354,-2.6805247284072564
132,0.01306335077834849,0.3380195229935138,5.184708574974816,-2.4241716931092983
133,0.018779014666596084,0.2352483814347441,5.1385510905925145,-2.18473075857999
134,0.022597127910691857,0.14821343821028837,5.097062635665278,-1.9575436567561422
135,0.024808945084073785,0.074591837219752,5.060033509564761,-1.7392062858471609
136,0.025663522354037387,0.01246731864318516,5.02731271862551,-1.527215577153862
137,0.025374394401878112,-0.03980756654117201,4.998792501250745,-1.3197264535570294
138,0.024123968796743757,-0.08370449573042846,4.974396958024339,-1.1153799440198058
139,0.022066377866967336,-0.12058218662878983,4.9540736296515355,-0.9131776881929783
140,0.01932929088632307,-0.1517286315913635,4.937787263303803,-0.7123869637164997
141,0.01601502985193839,-0.17838929297200287,4.925515264812913,-0.5124660013986572
142,0.012201221296665121,-0.20178583995035854,4.917244502982558,-0.31300283788873984
143,0.00794113871657295,-0.22312877410800136,4.912969243355565,-0.11366309559957719
144,0.0032638310912264314,-0.2436265237461094,4.912690067840573,0.08585665903865392
145,-0.0018259128033871874,-0.2644931332893272,4.9164136949534125,0.28587264609129515
146,-0.00734775708284877,-0.28695642708377367,4.924153668605769,0.48675706686330816
147,-0.013346194439800662,-0.31226853546425926,4.935931926560964,0.6889832740316972
148,-0.019891173694377363,-0.34172081831897894,4.951781318225657,0.8931758155659105
149,-0.02707909044072146,-0.37666566870216617,4.9717492043639595,1.1001691284466355
150,-0.03503430994569267,-0.41854844384786694,4.99590236170361,1.3110800788690178
151,-0.043911467690346886,-0.468954040884555,5.024333539918627,1.5274018359658217
152,-0.053898902390791044,-0.5296746515505457,5.057170202314047,1.7511301736554945
153,-0.0652237364330325,-0.6028083740064325,5.09458625610727,1.9849389355456828
154,-0.07815935461960677,-0.6909030672393065,5.136817989661019,2.2324299595137944
155,-0.09303640098051885,-0.7971667789559826,5.184186090074308,2.4984957954828464
156,-0.11025886728628584,-0.9257725406649022,5.237126447261255,2.7898471203540325
